,year,energy_per_person
0,2012,700.9569217713661
1,2013,682.9048538262717
2,2014,685.2004927495074
3,2015,672.3707979555168
4,2016,654.158614238785
5,2017,641.1742717454846
6,2018,621.5968441794049
7,2019,608.7816836446156
8,2020,631.3901889152509
9,2021,591.8367858420373
10,2022,546.0445112288402
11,2023,558.3045344020657
12,2024,544.429402350453
13,2025,537.6517271803665
14,2026,516.682489753506
15,2027,502.84982101207015
16,2028,489.06969997668745
17,2029,475.36055603897563
18,2030,461.7404253098975
19,2031,448.22652125180565
20,2032,434.835477423489
21,2033,421.58296688544385
22,2034,408.4836753673704
23,2035,395.551904771648
24,2036,382.8004602219742
25,2037,370.2413070912018
26,2038,357.88551956483934
27,2039,345.74314065185456
28,2040,333.8229908183233
29,2041,322.13317971321464
30,2042,310.68053038342913
31,2043,299.47107830465114
32,2044,288.50982146921996
33,2045,277.80091895951705
