,year,nyear,population
0,1950,0,2157920.0
1,1951,1,2175196.0
2,1952,2,2191167.0
3,1953,3,2205877.0
4,1954,4,2219367.0
5,1955,5,2231681.0
6,1956,6,2242860.0
7,1957,7,2252948.0
8,1958,8,2261987.0
9,1959,9,2270020.0
10,1960,10,2277089.0
11,1961,11,2283236.0
12,1962,12,2288506.0
13,1963,13,2292939.0
14,1964,14,2296579.0
15,1965,15,2299468.0
16,1966,16,2301649.0
17,1967,17,2303164.0
18,1968,18,2304057.0
19,1969,19,2304369.0
20,1970,20,2304144.0
21,1971,21,2303423.0
22,1972,22,2302250.0
23,1973,23,2300667.0
24,1974,24,2298716.0
25,1975,25,2296441.0
26,1976,26,2293884.0
27,1977,27,2291087.0
28,1978,28,2288093.0
29,1979,29,2284945.0
30,1980,30,2281685.0
31,1981,31,2278356.0
32,1982,32,2275000.0
33,1983,33,2271660.0
34,1984,34,2268380.0
35,1985,35,2265200.0
36,1986,36,2262164.0
37,1987,37,2259315.0
38,1988,38,2256695.0
39,1989,39,2254346.0
40,1990,40,2252312.0
41,1991,41,2250634.0
42,1992,42,2249356.0
43,1993,43,2248520.0
44,1994,44,2248169.0
45,1995,45,2248345.0
46,1996,46,2249091.0
47,1997,47,2250449.0
48,1998,48,2252462.0
49,1999,49,2255173.0
50,2000,50,2258625.0
51,2001,51,2262859.0
52,2002,52,2267918.0
53,2003,53,2273846.0
54,2004,54,2280684.0
55,2005,55,2288476.0
56,2006,56,2297263.0
57,2007,57,2307089.0
58,2008,58,2317996.0
59,2009,59,2330027.0
60,2010,60,2343224.0
61,2011,61,2357629.0
62,2012,62,2373287.0
63,2013,63,2390238.0
64,2014,64,2408526.0
65,2015,65,2428193.0
66,2016,66,2449282.0
67,2017,67,2471835.0
68,2018,68,2495896.0
69,2019,69,2521506.0
70,2020,70,2548709.0
71,2021,71,2577546.0
72,2022,72,2608061.0
73,2023,73,2640296.0
74,2024,74,2674293.0
75,2025,74,2674293.0
76,2026,76,2747747.0
77,2027,77,2787288.0
78,2028,78,2828762.0
79,2029,79,2872212.0
80,2030,80,2917680.0
81,2031,81,2965209.0
82,2032,82,3014841.0
83,2033,83,3066619.0
84,2034,84,3120587.0
85,2035,85,3176785.0
86,2036,86,3235257.0
87,2037,87,3296046.0
88,2038,88,3359194.0
89,2039,89,3424743.0
90,2040,90,3492737.0
91,2041,91,3563217.0
92,2042,92,3636227.0
93,2043,93,3711809.0
94,2044,94,3790006.0
95,2045,95,3870860.0
