year,population
2024,2684810
2023,2665100
2022,2645600
2021,2626370
2020,2607440
2019,2588570
2018,2570070
2017,2551880
2016,2533810
2015,2515880
2014,2498100
2013,2480440
2012,2462930
2011,2445500
2010,2428920
2009,2412710
2008,2396620
2007,2380600
2006,2364710
2005,2348920
2004,2333260
2003,2317660
2002,2302190
2001,2286820
2000,2285080
1999,2286280
1998,2287480
1997,2288680
1996,2289880
1995,2291080
1994,2292280
1993,2293480
1992,2294690
1991,2295890
1990,2300650
1989,2306540
1988,2312430
1987,2318360
1986,2324290
1985,2330240
1984,2336190
1983,2342180
1982,2348170
1981,2354180
1980,2356830
1979,2358430
1978,2360030
1977,2361630
1976,2363230
1975,2364840
1974,2366450
1973,2368050
1972,2369660
1971,2371270
1970,2369520
1969,2367010
1968,2364510
1967,2362000
1966,2359500
1965,2357010
1964,2354520
1963,2352020
1962,2349530
1961,2347050
1960,2337560
1959,2326440
1958,2315400
1957,2304410
1956,2293480
1955,2282580
1954,2271750
1953,2260960
1952,2250240
1951,2239550
1950,2228920

