,year,summer_power_consumption
0,2012,788952160.3574001
1,2013,796457658.85738
2,2014,792111285.6797401
3,2015,802611813.61491
4,2016,808782518.5754601
5,2017,837815278.74642
6,2018,833155295.39723
7,2019,818843667.4145
8,2020,764012234.2500701
9,2021,764850047.16757
10,2022,742820454.81917
11,2023,774516602.5717072
12,2024,771020696.7142669
13,2025,767524790.8568265
14,2026,764028884.999386
15,2027,760532979.1419455
16,2028,757037073.284505
17,2029,753541167.4270645
18,2030,750045261.5696241
19,2031,746549355.7121837
20,2032,743053449.8547432
21,2033,739557543.9973028
22,2034,736061638.1398623
23,2035,732565732.2824218
24,2036,729069826.4249815
25,2037,725573920.567541
26,2038,722078014.7101004
27,2039,718582108.85266
28,2040,715086202.9952196
29,2041,711590297.1377791
30,2042,708094391.2803388
31,2043,704598485.4228982
32,2044,701102579.5654577
33,2045,697606673.7080172
